# bubble_sort
#      n  min time  max time  avg time   std dev
#------- --------- --------- --------- ---------
      10 6.060e-07 9.420e-07 6.984e-07 6.724e-08
      13 7.360e-07 1.033e-06 8.316e-07 7.019e-08
      16 9.060e-07 1.162e-06 1.030e-06 5.960e-08
      20 1.175e-06 1.755e-06 1.404e-06 1.420e-07
      25 1.785e-06 2.541e-06 2.042e-06 1.594e-07
      32 2.454e-06 3.753e-06 2.896e-06 3.197e-07
      40 3.372e-06 4.362e-06 3.770e-06 2.100e-07
      50 4.450e-06 6.745e-06 5.351e-06 4.904e-07
      63 5.458e-06 2.413e-05 7.141e-06 2.077e-06
      79 7.886e-06 2.616e-05 1.034e-05 2.242e-06
     100 1.211e-05 3.582e-05 1.631e-05 4.663e-06
     126 1.754e-05 4.306e-05 2.236e-05 5.230e-06
     158 2.233e-05 5.521e-05 2.938e-05 6.786e-06
     200 3.151e-05 7.415e-05 4.019e-05 8.386e-06
     251 4.539e-05 1.047e-04 5.610e-05 1.298e-05
     316 6.614e-05 1.544e-04 8.572e-05 1.939e-05
     398 9.777e-05 2.030e-04 1.109e-04 2.032e-05
     501 1.496e-04 3.358e-04 2.058e-04 4.494e-05
     631 2.240e-04 3.649e-04 2.418e-04 2.763e-05
     794 3.402e-04 5.340e-04 3.694e-04 4.157e-05
    1000 5.259e-04 7.780e-04 5.572e-04 4.631e-05
    1259 8.180e-04 1.171e-03 8.611e-04 6.643e-05
    1585 1.288e-03 1.892e-03 1.409e-03 1.501e-04
    1995 2.057e-03 2.587e-03 2.169e-03 1.344e-04
    2512 3.367e-03 4.238e-03 3.570e-03 2.019e-04
    3162 5.690e-03 6.884e-03 5.992e-03 2.459e-04
    3981 1.006e-02 1.517e-02 1.121e-02 1.208e-03
    5012 1.798e-02 2.080e-02 1.862e-02 5.428e-04
    6310 3.198e-02 4.502e-02 3.370e-02 2.516e-03
    7943 5.696e-02 8.288e-02 6.628e-02 6.629e-03
#------- --------- --------- --------- ---------


# shaker_sort
#      n  min time  max time  avg time   std dev
#------- --------- --------- --------- ---------
      10 7.000e-07 9.970e-07 7.974e-07 7.455e-08
      13 7.870e-07 1.046e-06 8.726e-07 5.366e-08
      16 9.380e-07 1.340e-06 1.080e-06 9.862e-08
      20 1.147e-06 1.517e-06 1.328e-06 9.349e-08
      25 1.451e-06 2.314e-06 1.737e-06 1.858e-07
      32 1.695e-06 2.794e-06 2.129e-06 2.534e-07
      40 2.079e-06 3.976e-06 2.601e-06 3.641e-07
      50 3.583e-06 5.353e-06 4.318e-06 4.260e-07
      63 4.479e-06 8.044e-06 5.715e-06 8.615e-07
      79 6.796e-06 1.273e-05 8.838e-06 1.132e-06
     100 1.001e-05 3.193e-05 1.314e-05 3.947e-06
     126 1.248e-05 3.811e-05 1.660e-05 4.226e-06
     158 2.218e-05 5.295e-05 2.930e-05 7.765e-06
     200 2.817e-05 7.679e-05 3.797e-05 9.623e-06
     251 4.168e-05 9.756e-05 5.279e-05 1.177e-05
     316 6.188e-05 1.342e-04 7.566e-05 1.459e-05
     398 9.263e-05 1.857e-04 1.099e-04 1.998e-05
     501 1.410e-04 2.627e-04 1.647e-04 2.782e-05
     631 2.173e-04 4.580e-04 2.717e-04 5.759e-05
     794 3.339e-04 6.326e-04 4.005e-04 6.847e-05
    1000 5.183e-04 1.018e-03 6.427e-04 1.238e-04
    1259 8.183e-04 1.536e-03 1.029e-03 1.869e-04
    1585 1.308e-03 1.972e-03 1.485e-03 1.521e-04
    1995 2.090e-03 2.744e-03 2.253e-03 1.597e-04
    2512 3.464e-03 4.479e-03 3.694e-03 2.243e-04
    3162 5.834e-03 7.271e-03 6.194e-03 2.812e-04
