# bubble_sort
#      n  min time  max time  avg time   std dev
#------- --------- --------- --------- ---------
      10 5.230e-07 3.094e-06 1.287e-06 1.039e-06
      13 6.710e-07 9.600e-07 8.039e-07 8.902e-08
      16 7.990e-07 1.340e-06 9.744e-07 1.353e-07
      20 1.151e-06 2.027e-06 1.393e-06 2.101e-07
      25 1.240e-06 1.861e-06 1.563e-06 1.709e-07
      32 1.565e-06 3.033e-06 2.056e-06 4.346e-07
      40 2.559e-06 4.011e-06 3.114e-06 3.429e-07
      50 3.362e-06 5.061e-06 3.966e-06 3.760e-07
      63 4.554e-06 8.364e-06 5.655e-06 8.232e-07
      79 6.747e-06 1.146e-05 8.708e-06 1.138e-06
     100 1.004e-05 1.943e-05 1.239e-05 1.758e-06
     126 1.483e-05 2.418e-05 1.812e-05 2.291e-06
     158 2.132e-05 3.488e-05 2.460e-05 2.791e-06
     200 3.140e-05 4.720e-05 3.508e-05 3.115e-06
     251 4.590e-05 6.479e-05 4.978e-05 3.776e-06
     316 6.667e-05 1.016e-04 7.341e-05 6.994e-06
     398 9.970e-05 1.403e-04 1.067e-04 8.381e-06
     501 1.503e-04 2.024e-04 1.569e-04 8.789e-06
     631 2.289e-04 3.256e-04 2.427e-04 1.909e-05
     794 3.558e-04 1.947e-03 1.032e-03 6.978e-04
    1000 5.291e-04 2.771e-03 6.198e-04 3.323e-04
    1259 8.252e-04 1.205e-03 8.732e-04 7.314e-05
    1585 1.323e-03 7.510e-03 4.151e-03 2.581e-03
    1995 2.088e-03 1.125e-02 4.596e-03 3.775e-03
    2512 3.422e-03 1.816e-02 8.609e-03 6.542e-03
    3162 5.754e-03 3.030e-02 7.971e-03 6.371e-03
    3981 1.006e-02 5.285e-02 1.774e-02 1.493e-02
    5012 1.792e-02 9.397e-02 4.195e-02 3.147e-02
    6310 3.748e-02 1.662e-01 9.177e-02 5.279e-02
#------- --------- --------- --------- ---------


# shaker_sort
#      n  min time  max time  avg time   std dev
#------- --------- --------- --------- ---------
      10 6.690e-07 9.400e-07 7.820e-07 7.193e-08
      13 7.170e-07 1.086e-06 8.744e-07 1.033e-07
      16 7.870e-07 1.132e-06 9.512e-07 8.152e-08
      20 9.440e-07 1.370e-06 1.095e-06 1.099e-07
      25 1.202e-06 1.676e-06 1.381e-06 1.102e-07
      32 1.495e-06 2.160e-06 1.814e-06 1.771e-07
      40 2.125e-06 3.291e-06 2.485e-06 2.284e-07
      50 2.712e-06 4.201e-06 3.194e-06 3.409e-07
      63 4.015e-06 5.671e-06 4.608e-06 3.590e-07
      79 5.807e-06 9.447e-06 6.753e-06 6.227e-07
     100 8.471e-06 1.177e-05 9.612e-06 6.939e-07
     126 1.287e-05 6.230e-05 2.969e-05 2.110e-05
     158 8.182e-05 9.673e-05 8.821e-05 3.316e-06
     200 1.236e-04 1.433e-04 1.325e-04 4.411e-06
     251 4.297e-05 2.035e-04 7.702e-05 5.195e-05
     316 6.698e-05 3.120e-04 2.706e-04 6.908e-05
     398 1.023e-04 4.836e-04 3.341e-04 1.536e-04
     501 1.522e-04 7.050e-04 3.724e-04 2.429e-04
     631 2.287e-04 1.063e-03 4.887e-04 3.518e-04
     794 3.615e-04 1.637e-03 1.070e-03 5.775e-04
    1000 5.559e-04 2.552e-03 1.598e-03 9.049e-04
    1259 8.671e-04 4.039e-03 1.874e-03 1.335e-03
    1585 1.403e-03 6.486e-03 3.124e-03 2.211e-03
    1995 2.326e-03 1.045e-02 5.192e-03 3.596e-03
    2512 3.899e-03 1.723e-02 9.507e-03 6.134e-03
    3162 6.400e-03 2.907e-02 1.378e-02 9.861e-03
    3981 1.114e-02 4.961e-02 2.645e-02 1.720e-02
    5012 1.896e-02 8.294e-02 4.181e-02 2.795e-02
    6310 3.144e-02 1.388e-01 7.506e-02 4.558e-02
#------- --------- --------- --------- ---------


# insertion_sort
#      n  min time  max time  avg time   std dev
#------- --------- --------- --------- ---------
      10 5.580e-07 9.310e-07 6.867e-07 1.518e-07
      13 5.720e-07 9.880e-07 6.926e-07 1.358e-07
      16 6.620e-07 2.917e-06 1.996e-06 9.775e-07
      20 2.937e-06 3.290e-06 3.072e-06 7.280e-08
      25 3.261e-06 3.629e-06 3.412e-06 8.426e-08
      32 3.756e-06 4.320e-06 3.971e-06 1.210e-07
      40 4.379e-06 4.953e-06 4.641e-06 1.272e-07
      50 5.267e-06 6.030e-06 5.595e-06 1.620e-07
      63 6.625e-06 7.516e-06 7.045e-06 2.034e-07
      79 8.583e-06 9.797e-06 9.161e-06 2.804e-07
     100 1.166e-05 1.340e-05 1.245e-05 3.949e-07
     126 1.616e-05 1.855e-05 1.727e-05 5.523e-07
     158 2.290e-05 2.613e-05 2.441e-05 7.602e-07
     200 3.348e-05 3.837e-05 3.566e-05 1.059e-06
     251 4.951e-05 5.661e-05 5.253e-05 1.491e-06
     316 2.319e-05 8.323e-05 5.781e-05 2.290e-05
     398 2.553e-05 3.417e-05 2.889e-05 1.905e-06
     501 3.969e-05 5.344e-05 4.384e-05 2.783e-06
     631 6.446e-05 2.991e-04 2.372e-04 8.387e-05
     794 9.722e-05 4.496e-04 1.811e-04 1.317e-04
    1000 1.431e-04 7.455e-04 4.380e-04 2.622e-04
    1259 2.447e-04 1.176e-03 8.291e-04 3.965e-04
    1585 3.797e-04 1.693e-03 1.110e-03 5.931e-04
    1995 6.211e-04 2.700e-03 2.076e-03 8.227e-04
    2512 9.404e-04 4.171e-03 2.245e-03 1.472e-03
    3162 1.438e-03 6.626e-03 4.350e-03 2.365e-03
    3981 2.254e-03 1.034e-02 4.552e-03 3.372e-03
    5012 3.737e-03 1.623e-02 8.227e-03 5.689e-03
    6310 5.922e-03 2.573e-02 1.316e-02 8.997e-03
    7943 9.382e-03 4.087e-02 2.138e-02 1.422e-02
   10000 1.490e-02 6.453e-02 3.479e-02 2.233e-02
   12589 2.364e-02 1.039e-01 5.936e-02 3.464e-02
   15849 3.754e-02 1.677e-01 9.409e-02 5.219e-02
#------- --------- --------- --------- ---------


# Shell_sort
#      n  min time  max time  avg time   std dev
#------- --------- --------- --------- ---------
      10 2.503e-06 3.715e-06 2.752e-06 2.561e-07
      13 2.726e-06 3.917e-06 2.977e-06 2.440e-07
      16 2.994e-06 4.129e-06 3.262e-06 2.277e-07
      20 3.375e-06 3.879e-06 3.609e-06 1.190e-07
      25 3.859e-06 4.448e-06 4.143e-06 1.425e-07
      32 4.615e-06 5.317e-06 4.960e-06 1.686e-07
